,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Is Goal
202220,234,2017021065,2247,2,37,3,52.08646657242167,93.301865674435,0,0,1,69,-22,69,40.60788100849391,False,0.0,0.5885200146158537,0
202221,246,2017021065,2335,2,-33,14,57.723478758647246,75.96375653207353,2,0,0,-71,-37,18,63.60031446463138,False,0.0,3.533350803590632,0
202222,251,2017021065,2395,2,64,-25,35.35533905932738,45.0,0,0,0,-30,-39,8,95.03683496413376,False,0.0,11.879604370516722,0
202223,262,2017021065,2503,3,-33,7,56.43580423808985,82.8749836510982,2,0,6,-63,20,10,32.69556544854363,False,0.0,3.269556544854363,0
202224,263,2017021065,2522,3,55,31,46.01086828130936,132.35745470593528,2,0,5,-33,7,19,91.21403400793103,True,49.48247105483708,4.80073863199637,0
202225,268,2017021065,2623,3,59,-29,41.72529209005013,45.97102193107917,3,0,0,14,40,21,82.37718130647589,False,0.0,3.9227229193559943,0
202226,272,2017021065,2702,3,80,16,18.35755975068582,150.64224645720873,0,0,3,69,-18,10,35.73513677041127,False,0.0,3.5735136770411278,1
202227,277,2017021065,2734,3,-82,29,29.8328677803526,13.570434385161484,0,0,3,74,-1,22,158.8584275384847,False,0.0,7.220837615385668,0
202228,285,2017021065,2803,3,71,4,18.43908891458577,102.52880770915152,0,0,0,96,8,34,25.317977802344327,False,0.0,0.7446464059513037,0
202229,290,2017021065,2900,3,-80,-7,11.40175425099138,127.8749836510982,0,0,1,69,22,76,151.79591562357663,False,0.0,1.9973146792575875,0
202230,291,2017021065,2907,3,-64,16,29.68164415931166,57.38075692880719,0,0,5,-80,-7,7,28.0178514522438,True,-70.49422672229102,4.0025502074634,0
202231,301,2017021065,3031,3,16,5,105.11898020814318,87.27368900609373,0,0,1,69,22,29,55.65968020030299,False,0.0,1.9192993172518271,0
202232,309,2017021065,3131,3,71,-34,38.47076812334269,27.89727103094763,0,0,3,68,3,12,37.12142238654117,False,0.0,3.0934518655450973,0
202233,315,2017021065,3230,3,71,26,31.622776601683796,145.30484646876602,3,0,3,-71,-6,58,145.5609837834301,False,0.0,2.5096721341970705,0
202234,322,2017021065,3314,3,46,30,52.43090691567332,124.90249561592472,0,0,2,73,26,3,27.29468812791236,False,0.0,9.098229375970789,0
202235,324,2017021065,3359,3,-72,-13,21.40093455903269,127.40535663140857,0,0,0,-50,-15,6,22.09072203437452,False,0.0,3.681787005729087,0
202236,326,2017021065,3361,3,-78,8,13.601470508735444,53.97262661489639,0,0,3,-80,3,1,5.385164807134504,False,0.0,5.385164807134504,0
202237,330,2017021065,3395,3,-17,-27,76.89603370785778,110.55604521958348,0,0,2,-30,38,26,66.2872536767062,False,0.0,2.549509756796392,0
202238,338,2017021065,3511,3,36,33,62.43396511515186,121.90810693565317,2,0,4,90,32,0,54.00925846556311,False,0.0,0.0,0
202239,344,2017021065,3585,3,-61,-3,28.16025568065745,96.1155035662854,0,0,6,-61,-21,17,18.0,False,0.0,1.0588235294117647,0
202240,353,2017021065,3684,4,74,17,22.67156809750927,138.57633437499734,2,0,2,34,-33,61,64.03124237432849,False,0.0,1.0496924979398112,0
202241,354,2017021065,3688,4,76,-5,13.92838827718412,68.96248897457819,0,0,5,74,17,4,22.09072203437452,True,-69.61384540041915,5.522680508593631,0
202242,355,2017021065,3695,4,71,-8,19.697715603592208,66.03751102542182,3,0,5,76,-5,7,5.830951894845301,True,-2.9249779491563714,0.832993127835043,0
202243,356,2017021065,3706,4,58,10,32.57299494980466,107.87869659584132,2,0,5,71,-8,11,22.20360331117452,True,41.84118557041951,2.0185093919249564,0
202244,358,2017021065,3734,4,60,23,37.01351104664349,128.418055344822,2,0,0,-61,-32,14,132.9135057095403,False,0.0,9.493821836395735,0
202245,364,2017021065,3807,4,74,1,15.033296378372908,93.81407483429037,0,0,0,57,-12,2,21.40093455903269,False,0.0,10.700467279516348,0
202246,367,2017021065,3851,4,74,1,15.033296378372908,93.81407483429037,0,0,1,69,22,43,21.587033144922906,False,0.0,0.502024026626114,1
